"Gene","Condition","Reference"
"DRO_0003",2,TRUE
"DRO_0070",1,TRUE
"DRO_0323",1,TRUE
"DRO_0337",1,FALSE
"DRO_0421",1,TRUE
"DRO_0481",4,FALSE
"DRO_0596",1,TRUE
"DRO_0614",1,FALSE
"DRO_0899",1,TRUE
"DRO_1033",2,TRUE
"DRO_1034",2,FALSE
"DRO_1139",1,FALSE
"DRO_1140",1,TRUE
"DRO_1279",1,FALSE
"DRO_1280",1,TRUE
"DRO_1299",2,FALSE
"DRO_1364",1,FALSE
"DRO_1464",1,FALSE
"DRO_1673",2,TRUE
"DRO_1795",4,FALSE
"DRO_1876",1,FALSE
"DRO_1880",1,FALSE
"DRO_1891",1,TRUE
"DRO_1948",2,FALSE
"DRO_1968",1,FALSE
"DRO_2141",1,FALSE
"DRO_2142",1,FALSE
"DRO_2143",1,FALSE
"DRO_2144",1,FALSE
"DRO_2249",2,TRUE
"DRO_2250",1,FALSE
"DRO_2251",1,FALSE
"DRO_2308",1,TRUE
"DRO_2310",1,FALSE
"DRO_2332",1,FALSE
"DRO_2350",1,FALSE
"DRO_2399",1,FALSE
"DRO_2415",2,FALSE
"DRO_2545",1,FALSE
"DRO_A0001",3,FALSE
"DRO_A0002",1,FALSE
"DRO_A0013",2,FALSE
"DRO_A0073",1,FALSE
"DRO_A0074",1,FALSE
"DRO_A0075",2,FALSE
"DRO_A0076",2,FALSE
"DRO_A0077",1,FALSE
"DRO_A0080",1,FALSE
"DRO_A0081",1,FALSE
"DRO_A0082",1,FALSE
"DRO_A0084",1,FALSE
"DRO_A0085",1,FALSE
"DRO_A0086",1,FALSE
"DRO_A0096",1,FALSE
"DRO_A0167",2,FALSE
"DRO_A0168",1,FALSE
"DRO_A0251",2,FALSE
"DRO_A0252",2,FALSE
"DRO_A0257",1,FALSE
"DRO_A0258",1,FALSE
"DRO_A0311",2,FALSE
"DRO_A0341",2,FALSE
"DRO_A0342",1,TRUE
"DRO_C0003",1,FALSE
"DRO_C0009",1,FALSE
"DRO_C0010",1,FALSE
"DRO_C0011",1,FALSE
"DRO_C0021",1,FALSE
"DRO_C0025",1,FALSE
"DRO_C0031",2,FALSE
"DRO_C0033",1,FALSE
