;D37 4H vs 1H;;;D37 6H vs 1H;;;D37 8H vs 1H;;;D37 16H vs 1H;;;D37 24H vs 1H;;;W37 4H vs 1H;;;W37 6H vs 1H;;;W37 8H vs 1H;;;W37 16H vs 1H;;;W37 24H vs 1H;
Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj;Gene;log2(FC);P-adj
DRO_0002;-0.578120999;5.56E-09;DRO_0002;-0.324171028;0.000155601;DRO_0002;-0.164521009;0.136073937;DRO_0002;-0.168913356;0.23737015;DRO_0002;-0.503599527;1.73E-06;DRO_0002;-0.120613518;0.296637747;DRO_0002;-0.005830161;0.966927413;DRO_0002;0.635710392;5.94E-13;DRO_0002;-0.144839917;0.193766318;DRO_0002;-0.52002721;7.84E-10
DRO_0003;1.93154897;7.74E-45;DRO_0003;3.660986951;3.15E-159;DRO_0003;4.667047454;1.21E-239;DRO_0003;5.793282618;1.02E-203;DRO_0003;3.635384077;1.02E-176;DRO_0003;0.819514491;1.29E-06;DRO_0003;0.506406214;0.026349287;DRO_0003;0.799688157;4.34E-05;DRO_0003;0.752186968;2.26E-06;DRO_0003;1.502849596;5.88E-21
DRO_0004;0.133226622;0.3769258;DRO_0004;0.546426679;2.41E-05;DRO_0004;0.669877091;0.000347577;DRO_0004;0.404425495;0.077387666;DRO_0004;0.868896449;8.55E-11;DRO_0004;0.380681202;0.011762846;DRO_0004;0.351906353;0.031959609;DRO_0004;0.595006191;2.72E-06;DRO_0004;0.936691249;3.38E-10;DRO_0004;0.692951021;8.83E-09
DRO_0005;-1.028292952;1.72E-22;DRO_0005;-1.200388538;1.18E-32;DRO_0005;-1.659758555;1.34E-43;DRO_0005;-1.548478936;5.25E-15;DRO_0005;-1.255309981;3.22E-33;DRO_0005;-0.325888012;0.003392904;DRO_0005;-0.803331428;1.41E-06;DRO_0005;-1.411896388;1.73E-47;DRO_0005;-0.730802229;4.40E-10;DRO_0005;-0.694525218;1.91E-13
DRO_0006;-0.044216664;0.7304046;DRO_0006;0.966507676;3.84E-27;DRO_0006;1.244727933;8.38E-23;DRO_0006;0.73168596;4.61E-09;DRO_0006;0.263081676;0.017774829;DRO_0006;0.123382241;0.203775058;DRO_0006;0.327641934;0.053804402;DRO_0006;0.852163742;1.25E-18;DRO_0006;-0.317958161;0.003861753;DRO_0006;-0.013620427;0.912111117
DRO_0007;1.024954181;1.20E-17;DRO_0007;1.390698224;2.41E-35;DRO_0007;1.524602436;3.71E-30;DRO_0007;1.136730281;1.11E-13;DRO_0007;1.896926621;1.05E-50;DRO_0007;1.170353565;1.75E-24;DRO_0007;1.486909707;9.08E-28;DRO_0007;1.699104788;1.01E-58;DRO_0007;1.09724621;4.53E-17;DRO_0007;2.209689495;1.13E-120
DRO_0008;1.312070626;8.31E-29;DRO_0008;1.528430274;1.54E-34;DRO_0008;1.376467973;1.09E-26;DRO_0008;0.864032643;1.77E-07;DRO_0008;2.204558436;6.81E-81;DRO_0008;1.466914502;8.44E-32;DRO_0008;1.675623893;2.09E-31;DRO_0008;1.977238538;3.65E-61;DRO_0008;1.453777945;5.78E-24;DRO_0008;2.551610823;4.83E-129
DRO_0009;0.476457723;9.44E-05;DRO_0009;0.506475289;3.15E-06;DRO_0009;0.373799114;0.006944221;DRO_0009;-0.538967887;7.21E-05;DRO_0009;0.889809203;5.23E-15;DRO_0009;0.511646397;1.18E-06;DRO_0009;0.464437863;0.000302169;DRO_0009;0.34083738;0.001076842;DRO_0009;-0.187652461;0.109770693;DRO_0009;0.56568502;1.75E-07
DRO_0012;-0.73210378;1.70E-09;DRO_0012;-0.530271401;7.17E-07;DRO_0012;-0.243715527;0.051462964;DRO_0012;-1.199374973;1.49E-13;DRO_0012;-1.838718529;2.67E-55;DRO_0012;-0.38827455;0.00028185;DRO_0012;-0.418108406;0.003504841;DRO_0012;0.537543758;4.98E-07;DRO_0012;-1.331110424;9.40E-33;DRO_0012;-1.762919129;7.28E-76
DRO_0013;-0.173726652;0.232145964;DRO_0013;-0.279633726;0.036447408;DRO_0013;-0.297114511;0.038929515;DRO_0013;-0.534631963;0.006738417;DRO_0013;0.19630608;0.263890794;DRO_0013;0.054058213;0.710814751;DRO_0013;0.167444492;0.328248069;DRO_0013;0.279936099;0.018094623;DRO_0013;0.472446067;9.67E-05;DRO_0013;1.326402838;3.52E-36
DRO_0014;-0.192744269;0.164264264;DRO_0014;-0.324425127;0.011102947;DRO_0014;-0.176538269;0.261946099;DRO_0014;-0.622678914;0.004216103;DRO_0014;0.011468122;0.942240279;DRO_0014;-0.002154727;0.988956309;DRO_0014;0.109101903;0.639052136;DRO_0014;0.162427521;0.20395749;DRO_0014;0.3703802;0.001369264;DRO_0014;1.33964206;1.71E-35
DRO_0015;-0.554841618;1.87E-06;DRO_0015;-1.364440865;1.83E-32;DRO_0015;-1.776859044;2.64E-42;DRO_0015;-3.192882159;1.40E-57;DRO_0015;-1.379712347;6.91E-20;DRO_0015;-0.0197706;0.8889517;DRO_0015;-0.200430899;0.246412121;DRO_0015;-0.833329127;1.34E-15;DRO_0015;-1.342595947;4.91E-32;DRO_0015;-0.557324495;1.56E-08
DRO_0016;-0.597987467;1.31E-05;DRO_0016;-1.369631142;1.45E-22;DRO_0016;-1.679214895;1.07E-22;DRO_0016;-2.835180332;1.40E-34;DRO_0016;-1.35807467;1.33E-17;DRO_0016;-0.178110461;0.17855587;DRO_0016;-0.420286281;0.034249735;DRO_0016;-0.904148167;6.02E-12;DRO_0016;-1.116530912;7.14E-17;DRO_0016;-0.928382717;4.22E-09
DRO_0017;0.220104708;0.122798067;DRO_0017;-0.067371738;0.612938893;DRO_0017;-0.480012201;0.001429724;DRO_0017;-1.041087306;9.39E-10;DRO_0017;-0.163168925;0.22193964;DRO_0017;0.514667342;1.74E-05;DRO_0017;0.501878828;0.00126352;DRO_0017;0.556431574;1.56E-06;DRO_0017;0.36339481;0.004274182;DRO_0017;0.010432285;0.930108285
DRO_0018;0.583654426;0.015821284;DRO_0018;0.147407895;0.600616498;DRO_0018;0.133232324;0.651813792;DRO_0018;-0.469245018;0.182765163;DRO_0018;1.215586992;3.41E-08;DRO_0018;-0.076519777;0.792641309;DRO_0018;-0.35149686;0.268571263;DRO_0018;0.211662017;0.396711071;DRO_0018;0.08892455;0.716503504;DRO_0018;0.396637208;0.057706766
DRO_0019;1.005338315;2.62E-09;DRO_0019;0.812721901;1.84E-11;DRO_0019;1.299598727;1.77E-21;DRO_0019;0.133634406;0.606030494;DRO_0019;1.839589593;6.48E-49;DRO_0019;-0.070158018;0.661020389;DRO_0019;0.032007933;0.878321683;DRO_0019;0.436619054;0.001204446;DRO_0019;-0.557168604;6.99E-05;DRO_0019;0.841438486;3.93E-13
DRO_0020;0.977295444;1.31E-07;DRO_0020;0.489201978;0.0008357;DRO_0020;0.976227349;4.25E-12;DRO_0020;-0.030713382;0.875274785;DRO_0020;1.183689626;2.33E-16;DRO_0020;-0.09593429;0.573097469;DRO_0020;0.11102034;0.620607712;DRO_0020;0.570322698;7.30E-06;DRO_0020;-0.498084308;0.000236147;DRO_0020;0.24902528;0.037965107
