Gene_Name	Chromosome	Start	End	Region
DRO_1788	CP068791.1	1834160.0	1834178.0	Gene body
DRO_0069	CP068791.1	65999.0	66017.0	Promoter region
DRO_2144	CP068791.1	2167345.0	2167365.0	Gene body
DRO_1227	CP068791.1	1242885.0	1242903.0	Gene body
DRO_C0010	CP068794.1	12082.0	12100.0	Promoter region
DRO_C0033	CP068794.1	34882.0	34902.0	Gene body
DRO_2099	CP068791.1	2127978.0	2127998.0	Gene body
DRO_0899	CP068791.1	911148.0	911166.0	Promoter region
DRO_0900	CP068791.1	911367.0	911387.0	Gene body
DRO_2248	CP068791.1	2270194.0	2270214.0	Promoter region
DRO_0021	CP068791.1	20667.0	20687.0	Promoter region
DRO_0662	CP068791.1	673320.0	673340.0	Gene body
DRO_C0041	CP068794.1	44895.0	44915.0	Gene body
DRO_0225	CP068791.1	226068.0	226086.0	Gene body
DRO_C0010	CP068794.1	12205.0	12223.0	Promoter region
DRO_0098	CP068791.1	100334.0	100352.0	Promoter region
DRO_0021	CP068791.1	20669.0	20687.0	Promoter region
DRO_0607	CP068791.1	617570.0	617590.0	Gene body
DRO_0769	CP068791.1	788166.0	788186.0	Promoter region
DRO_0098	CP068791.1	100334.0	100354.0	Promoter region
DRO_C0033	CP068794.1	34882.0	34900.0	Gene body
DRO_0607	CP068791.1	617570.0	617588.0	Gene body
DRO_0217	CP068791.1	217497.0	217517.0	Gene body
DRO_A0166	CP068792.1	164377.0	164395.0	Promoter region
DRO_0069	CP068791.1	65997.0	66017.0	Promoter region
DRO_2308	CP068791.1	2331448.0	2331468.0	Gene body
DRO_2450	CP068791.1	2472796.0	2472814.0	Promoter region
DRO_2578	CP068791.1	2611434.0	2611454.0	Promoter region
DRO_1286	CP068791.1	1306253.0	1306271.0	Promoter region
DRO_16SrRNA3	CP068791.1	2463864.0	2463884.0	Gene body
DRO_C0022	CP068794.1	25865.0	25883.0	Gene body
DRO_2399	CP068791.1	2425217.0	2425237.0	Gene body
DRO_C0011	CP068794.1	12969.0	12989.0	Promoter region
DRO_1287	CP068791.1	1307067.0	1307087.0	Gene body
DRO_16SrRNA3	CP068791.1	2463864.0	2463882.0	Gene body
DRO_2383	CP068791.1	2406099.0	2406117.0	Promoter region
DRO_2450	CP068791.1	2472796.0	2472816.0	Promoter region
DRO_2144	CP068791.1	2167343.0	2167363.0	Gene body
DRO_0899	CP068791.1	911148.0	911168.0	Promoter region
DRO_1893	CP068791.1	1936461.0	1936481.0	Promoter region
DRO_C0002	CP068794.1	1861.0	1881.0	Gene body
DRO_0218	CP068791.1	219257.0	219277.0	Promoter region
DRO_16SrRNA1	CP068791.1	86002.0	86020.0	Gene body
DRO_C0011	CP068794.1	12969.0	12987.0	Promoter region
DRO_1893	CP068791.1	1936459.0	1936479.0	Promoter region
DRO_C0010	CP068794.1	12205.0	12225.0	Promoter region
DRO_0218	CP068791.1	219259.0	219279.0	Promoter region
DRO_2500	CP068791.1	2525989.0	2526007.0	Promoter region
DRO_1287	CP068791.1	1306373.0	1306391.0	Gene body
DRO_1788	CP068791.1	1834160.0	1834180.0	Gene body
DRO_0098	CP068791.1	100332.0	100352.0	Promoter region
DRO_C0007	CP068794.1	9501.0	9521.0	Gene body
DRO_16SrRNA2	CP068791.1	2283139.0	2283159.0	Gene body
DRO_2144	CP068791.1	2167345.0	2167363.0	Gene body
DRO_2248	CP068791.1	2270196.0	2270214.0	Promoter region
DRO_1552	CP068791.1	1592445.0	1592465.0	Gene body
DRO_23SrRNA1	CP068791.1	253014.0	253032.0	Gene body
DRO_C0036	CP068794.1	38054.0	38074.0	Gene body
DRO_0218	CP068791.1	219259.0	219277.0	Promoter region
DRO_C0038	CP068794.1	41663.0	41683.0	Gene body
DRO_A0166	CP068792.1	164377.0	164397.0	Promoter region
DRO_0021	CP068791.1	20669.0	20689.0	Promoter region
DRO_C0036	CP068794.1	38054.0	38072.0	Gene body
DRO_0138	CP068791.1	136887.0	136905.0	Promoter region
DRO_1891	CP068791.1	1932067.0	1932085.0	Gene body
DRO_0138	CP068791.1	136885.0	136905.0	Promoter region
DRO_1893	CP068791.1	1936461.0	1936479.0	Promoter region
DRO_1894	CP068791.1	1936461.0	1936481.0	Gene body
DRO_23SrRNA3	CP068791.1	2583332.0	2583350.0	Gene body
DRO_0138	CP068791.1	136887.0	136907.0	Promoter region
DRO_16SrRNA2	CP068791.1	2283139.0	2283157.0	Gene body
DRO_2166	CP068791.1	2189053.0	2189073.0	Promoter region
DRO_1286	CP068791.1	1306253.0	1306273.0	Promoter region
DRO_C0032	CP068794.1	34762.0	34782.0	Promoter region
DRO_0069	CP068791.1	65999.0	66019.0	Promoter region
DRO_23SrRNA1	CP068791.1	250522.0	250540.0	Gene body
DRO_1227	CP068791.1	1242885.0	1242905.0	Gene body
DRO_1287	CP068791.1	1306373.0	1306393.0	Gene body
DRO_2308	CP068791.1	2331450.0	2331468.0	Gene body
DRO_1552	CP068791.1	1592447.0	1592465.0	Gene body
DRO_16SrRNA1	CP068791.1	86000.0	86020.0	Gene body
DRO_C0011	CP068794.1	12967.0	12987.0	Promoter region
DRO_1788	CP068791.1	1834158.0	1834178.0	Gene body
DRO_C0033	CP068794.1	35576.0	35596.0	Gene body
DRO_0600	CP068791.1	611033.0	611051.0	Gene body
DRO_1899	CP068791.1	1941167.0	1941187.0	Gene body
DRO_2383	CP068791.1	2406099.0	2406119.0	Promoter region
DRO_2229	CP068791.1	2248589.0	2248609.0	Gene body
DRO_C0041	CP068794.1	45179.0	45199.0	Gene body
DRO_C0032	CP068794.1	34762.0	34780.0	Promoter region
DRO_A0166	CP068792.1	164375.0	164395.0	Promoter region
