Gene_Name	Chromosome	Start	End	Region
DRO_0099	CP068791.1	100334.0	100352.0	Proximal promoter (-500)
DRO_1891	CP068791.1	1931894.0	1931914.0	Proximal promoter (-500)
DRO_B0150	CP068794.1	34882.0	34902.0	Promoter region
DRO_0596	CP068791.1	608353.0	608373.0	Proximal promoter (-500)
DRO_16SrRNA3	CP068791.1	2463864.0	2463884.0	Gene body
DRO_1880	CP068791.1	1921701.0	1921721.0	Proximal promoter (-500)
DRO_1551	CP068791.1	1592445.0	1592465.0	Proximal promoter (-500)
DRO_2610	CP068792.1	164377.0	164395.0	Promoter region
DRO_0022	CP068791.1	20669.0	20689.0	Proximal promoter (-500)
DRO_2307	CP068791.1	2331450.0	2331468.0	Proximal promoter (-500)
DRO_5SrRNA1	CP068791.1	253014.0	253032.0	Proximal promoter (-500)
DRO_1788	CP068791.1	1834160.0	1834180.0	Gene body
DRO_B0150	CP068794.1	45179.0	45199.0	Promoter region
DRO_B0150	CP068794.1	25865.0	25883.0	Promoter region
DRO_1281	CP068791.1	1299436.0	1299456.0	Proximal promoter (-500)
DRO_0069	CP068791.1	65997.0	66017.0	Promoter region
DRO_1788	CP068791.1	1834160.0	1834178.0	Gene body
DRO_0558	CP068791.1	566493.0	566513.0	Proximal promoter (-500)
DRO_C0022	CP068794.1	25865.0	25883.0	Proximal promoter (-500)
DRO_1880	CP068791.1	1921703.0	1921723.0	Proximal promoter (-500)
DRO_A0168	CP068792.1	164377.0	164397.0	Proximal promoter (-500)
DRO_1893	CP068791.1	1936459.0	1936479.0	Promoter region
DRO_2144	CP068791.1	2167343.0	2167363.0	Proximal promoter (-500)
DRO_C0022	CP068794.1	25865.0	25883.0	Gene body
DRO_0599	CP068791.1	611033.0	611051.0	Proximal promoter (-500)
DRO_23SrRNA3	CP068791.1	2583332.0	2583350.0	Gene body
DRO_0138	CP068791.1	136885.0	136905.0	Promoter region
DRO_2230	CP068791.1	2248924.0	2248942.0	Proximal promoter (-500)
DRO_2308	CP068791.1	2331448.0	2331468.0	Gene body
DRO_C0010	CP068794.1	12205.0	12225.0	Promoter region
DRO_B0150	CP068794.1	9501.0	9521.0	Promoter region
DRO_0899	CP068791.1	908841.0	908861.0	Proximal promoter (-500)
DRO_0607	CP068791.1	617570.0	617590.0	Gene body
DRO_2384	CP068791.1	2406099.0	2406119.0	Proximal promoter (-500)
DRO_0422	CP068791.1	422621.0	422639.0	Proximal promoter (-500)
DRO_A0166	CP068792.1	164377.0	164395.0	Promoter region
DRO_0601	CP068791.1	611033.0	611051.0	Proximal promoter (-500)
DRO_0004	CP068791.1	4265.0	4285.0	Proximal promoter (-500)
DRO_2500	CP068791.1	2525989.0	2526007.0	Promoter region
DRO_0421	CP068791.1	422641.0	422661.0	Proximal promoter (-500)
DRO_A0168	CP068792.1	164377.0	164395.0	Proximal promoter (-500)
DRO_2450	CP068791.1	2472796.0	2472814.0	Promoter region
DRO_1899	CP068791.1	1941167.0	1941187.0	Gene body
DRO_C0032	CP068794.1	34762.0	34782.0	Promoter region
DRO_2610	CP068792.1	164377.0	164397.0	Promoter region
DRO_C0010	CP068794.1	12205.0	12223.0	Promoter region
DRO_0421	CP068791.1	422621.0	422639.0	Proximal promoter (-500)
DRO_2578	CP068791.1	2611434.0	2611454.0	Promoter region
DRO_0323	CP068791.1	320382.0	320402.0	Proximal promoter (-500)
DRO_1754	CP068791.1	1802926.0	1802944.0	Proximal promoter (-500)
DRO_B0150	CP068794.1	12205.0	12225.0	Promoter region
DRO_0224	CP068791.1	226068.0	226086.0	Proximal promoter (-500)
DRO_1552	CP068791.1	1592445.0	1592465.0	Gene body
DRO_0219	CP068791.1	219257.0	219277.0	Proximal promoter (-500)
DRO_C0032	CP068794.1	34762.0	34780.0	Promoter region
DRO_0422	CP068791.1	422621.0	422641.0	Proximal promoter (-500)
DRO_A0342	CP068792.1	381817.0	381837.0	Proximal promoter (-500)
DRO_2229	CP068791.1	2248940.0	2248960.0	Proximal promoter (-500)
DRO_0323	CP068791.1	320382.0	320400.0	Proximal promoter (-500)
DRO_2043	CP068791.1	2082182.0	2082200.0	Proximal promoter (-500)
DRO_B0150	CP068794.1	12205.0	12223.0	Promoter region
DRO_B0150	CP068794.1	38054.0	38074.0	Promoter region
DRO_0899	CP068791.1	908839.0	908859.0	Proximal promoter (-500)
DRO_0422	CP068791.1	422641.0	422661.0	Proximal promoter (-500)
DRO_23SrRNA1	CP068791.1	250522.0	250540.0	Gene body
DRO_2230	CP068791.1	2248922.0	2248942.0	Proximal promoter (-500)
DRO_A0167	CP068792.1	164375.0	164395.0	Proximal promoter (-500)
DRO_0022	CP068791.1	20667.0	20687.0	Proximal promoter (-500)
DRO_2610	CP068792.1	381817.0	381837.0	Promoter region
DRO_2451	CP068791.1	2472796.0	2472814.0	Proximal promoter (-500)
DRO_A0343	CP068792.1	381815.0	381835.0	Proximal promoter (-500)
DRO_0223	CP068791.1	226068.0	226086.0	Proximal promoter (-500)
DRO_A0166	CP068792.1	164377.0	164397.0	Promoter region
DRO_C0041	CP068794.1	44895.0	44915.0	Gene body
DRO_A0342	CP068792.1	381817.0	381835.0	Proximal promoter (-500)
DRO_2229	CP068791.1	2248940.0	2248958.0	Proximal promoter (-500)
DRO_C0036	CP068794.1	38054.0	38074.0	Gene body
DRO_1033	CP068791.1	1052871.0	1052889.0	Proximal promoter (-500)
DRO_B0150	CP068794.1	38054.0	38072.0	Promoter region
DRO_2230	CP068791.1	2248938.0	2248958.0	Proximal promoter (-500)
DRO_C0007	CP068794.1	9501.0	9521.0	Gene body
DRO_0225	CP068791.1	226068.0	226086.0	Gene body
DRO_1755	CP068791.1	1802924.0	1802944.0	Proximal promoter (-500)
DRO_2610	CP068792.1	381817.0	381835.0	Promoter region
DRO_C0033	CP068794.1	34762.0	34782.0	Proximal promoter (-500)
DRO_1685	CP068791.1	1729725.0	1729745.0	Proximal promoter (-500)
DRO_C0011	CP068794.1	12969.0	12989.0	Promoter region
DRO_1032	CP068791.1	1052871.0	1052891.0	Proximal promoter (-500)
DRO_2229	CP068791.1	2248589.0	2248609.0	Gene body
DRO_0900	CP068791.1	911148.0	911168.0	Proximal promoter (-500)
DRO_1898	CP068791.1	1941167.0	1941187.0	Proximal promoter (-500)
DRO_0021	CP068791.1	20669.0	20689.0	Promoter region
DRO_0770	CP068791.1	788166.0	788186.0	Proximal promoter (-500)
DRO_2042	CP068791.1	2082180.0	2082200.0	Proximal promoter (-500)
DRO_0662	CP068791.1	673320.0	673340.0	Gene body
DRO_1894	CP068791.1	1936459.0	1936479.0	Proximal promoter (-500)
DRO_C0033	CP068794.1	34762.0	34780.0	Proximal promoter (-500)
DRO_2043	CP068791.1	2082182.0	2082202.0	Proximal promoter (-500)
DRO_C0033	CP068794.1	34882.0	34900.0	Gene body
DRO_0596	CP068791.1	608351.0	608371.0	Proximal promoter (-500)
DRO_B0150	CP068794.1	12969.0	12987.0	Promoter region
DRO_0900	CP068791.1	911148.0	911166.0	Proximal promoter (-500)
DRO_1754	CP068791.1	1802926.0	1802946.0	Proximal promoter (-500)
DRO_1881	CP068791.1	1921703.0	1921721.0	Proximal promoter (-500)
DRO_1755	CP068791.1	1802926.0	1802944.0	Proximal promoter (-500)
DRO_0218	CP068791.1	219257.0	219277.0	Promoter region
DRO_2248	CP068791.1	2270196.0	2270214.0	Promoter region
DRO_0559	CP068791.1	566493.0	566513.0	Proximal promoter (-500)
DRO_1286	CP068791.1	1306253.0	1306273.0	Promoter region
DRO_C0033	CP068794.1	35576.0	35596.0	Gene body
DRO_2100	CP068791.1	2127978.0	2127998.0	Proximal promoter (-500)
DRO_B0150	CP068794.1	34762.0	34782.0	Promoter region
DRO_0003	CP068791.1	4267.0	4287.0	Proximal promoter (-500)
DRO_C0034	CP068794.1	35576.0	35596.0	Proximal promoter (-500)
DRO_A0012	CP068792.1	13433.0	13453.0	Proximal promoter (-500)
DRO_1033	CP068791.1	1052871.0	1052891.0	Proximal promoter (-500)
DRO_2099	CP068791.1	2127978.0	2127998.0	Gene body
DRO_0099	CP068791.1	100332.0	100352.0	Proximal promoter (-500)
DRO_0070	CP068791.1	65999.0	66019.0	Proximal promoter (-500)
DRO_1286	CP068791.1	1306253.0	1306271.0	Promoter region
DRO_0139	CP068791.1	136887.0	136905.0	Proximal promoter (-500)
DRO_B0150	CP068794.1	34762.0	34780.0	Promoter region
DRO_C0016	CP068794.1	16367.0	16387.0	Proximal promoter (-500)
DRO_2450	CP068791.1	2472796.0	2472816.0	Promoter region
DRO_0422	CP068791.1	422643.0	422661.0	Proximal promoter (-500)
DRO_1227	CP068791.1	1242885.0	1242905.0	Gene body
DRO_A0013	CP068792.1	13433.0	13453.0	Proximal promoter (-500)
DRO_1032	CP068791.1	1052869.0	1052889.0	Proximal promoter (-500)
DRO_2249	CP068791.1	2270196.0	2270214.0	Proximal promoter (-500)
DRO_2307	CP068791.1	2331448.0	2331468.0	Proximal promoter (-500)
DRO_0021	CP068791.1	20667.0	20687.0	Promoter region
DRO_0139	CP068791.1	136887.0	136907.0	Proximal promoter (-500)
DRO_1754	CP068791.1	1802924.0	1802944.0	Proximal promoter (-500)
DRO_0421	CP068791.1	422643.0	422661.0	Proximal promoter (-500)
DRO_2308	CP068791.1	2331448.0	2331468.0	Proximal promoter (-500)
DRO_1280	CP068791.1	1299438.0	1299456.0	Proximal promoter (-500)
DRO_0421	CP068791.1	422621.0	422641.0	Proximal promoter (-500)
DRO_2610	CP068792.1	164375.0	164395.0	Promoter region
DRO_C0041	CP068794.1	45179.0	45199.0	Gene body
